name,type,path
BSV,Module,BSV.md
BSV.VERSION,Constant,BSV.md#constant-VERSION
BSV.logger,Attribute,BSV.md#attribute-c-logger
BSV::MCP,Module,BSV/MCP.md
BSV::MCP::Tools,Module,BSV/MCP/Tools.md
BSV::Auth,Module,BSV/Auth.md
BSV::Auth.AUTH_VERSION,Constant,BSV/Auth.md#constant-AUTH_VERSION
BSV::Auth.MSG_INITIAL_REQUEST,Constant,BSV/Auth.md#constant-MSG_INITIAL_REQUEST
BSV::Auth.MSG_INITIAL_RESPONSE,Constant,BSV/Auth.md#constant-MSG_INITIAL_RESPONSE
BSV::Auth.MSG_CERT_REQUEST,Constant,BSV/Auth.md#constant-MSG_CERT_REQUEST
BSV::Auth.MSG_CERT_RESPONSE,Constant,BSV/Auth.md#constant-MSG_CERT_RESPONSE
BSV::Auth.MSG_GENERAL,Constant,BSV/Auth.md#constant-MSG_GENERAL
BSV::Auth.get_verifiable_certificates,Method,BSV/Auth.md#method-c-get_verifiable_certificates
BSV::Auth.validate_certificates,Method,BSV/Auth.md#method-c-validate_certificates
BSV::Script,Module,BSV/Script.md
BSV::Wallet,Module,BSV/Wallet.md
BSV::Wallet.error_from_wire,Method,BSV/Wallet.md#method-c-error_from_wire
BSV::Wallet::Substrates,Module,BSV/Wallet/Substrates.md
BSV::Network,Module,BSV/Network.md
BSV::Overlay,Module,BSV/Overlay.md
BSV::Overlay.SHIPBroadcaster,Constant,BSV/Overlay.md#constant-SHIPBroadcaster
BSV::Storage,Module,BSV/Storage.md
BSV::Identity,Module,BSV/Identity.md
BSV::KVStore,Module,BSV/KVStore.md
BSV::Registry,Module,BSV/Registry.md
BSV::Attest,Module,BSV/Attest.md
BSV::Attest.VERSION,Constant,BSV/Attest.md#constant-VERSION
BSV::Attest.configuration,Method,BSV/Attest.md#method-c-configuration
BSV::Attest.configure,Method,BSV/Attest.md#method-c-configure
BSV::Attest.hash,Method,BSV/Attest.md#method-c-hash
BSV::Attest.publish,Method,BSV/Attest.md#method-c-publish
BSV::Attest.reset_configuration!,Method,BSV/Attest.md#method-c-reset_configuration-21
BSV::Attest.verify,Method,BSV/Attest.md#method-c-verify
BSV::Auth::Nonce,Module,BSV/Auth/Nonce.md
BSV::Auth::Nonce.PROTOCOL_ID,Constant,BSV/Auth/Nonce.md#constant-PROTOCOL_ID
BSV::Auth::Nonce.RANDOM_BYTES,Constant,BSV/Auth/Nonce.md#constant-RANDOM_BYTES
BSV::Auth::Nonce.create,Method,BSV/Auth/Nonce.md#method-c-create
